!
43243
dfdsf
fdsfdsfffffffffffffffffffffffffffffffffffffffffffffffddsfdsfdsdsfsdfdsfdssdfsdfsfd
fdsf
sfddsf
!

ind	x       y        z
502 -233.5517 -233.5517 549.2680
503 -229.6894 -229.6894 557.9474
504 -229.6894 -220.9585 566.6783
505 -233.5517 -212.2790 570.5406
506 -237.7421 -201.9720 574.7310
507 -246.3994 -177.7402 583.3882
508 -250.6494 -164.1909 587.6384
509 -254.7357 -149.8443 591.7246
510 -262.0988 -119.2022 599.0877
511 -265.2564 -103.0922 602.2453
512 -268.0117 -86.5556 605.0006
513 -272.1668 -52.4947 609.1558
514 -273.5074 -35.1133 610.4963
515 -274.3274 -17.5917 611.3164
516 -274.3274 17.5917 611.3163
517 -273.5074 35.1133 610.4963
518 -272.1668 52.4947 609.1558
519 -268.0117 86.5557 605.0005
520 -265.2564 103.0922 602.2453
521 -262.0988 119.2022 599.0877
522 -254.7357 149.8443 591.7246
523 -250.6495 164.1909 587.6384
524 -246.3994 177.7402 583.3883
525 -237.7421 201.9720 574.7310
526 -233.5517 212.2791 570.5406
527 -229.6894 220.9585 566.6783
528 -229.6894 229.6894 557.9474
529 -233.5517 233.5517 549.2680
530 -237.7421 237.7421 538.9609
531 -246.3742 246.3742 514.8323
532 -250.4481 250.4480 502.0058
533 -254.0560 254.0560 489.6208
534 -220.9585 229.6894 566.6783
535 -212.2791 233.5517 570.5406
536 -201.9720 237.7421 574.7310
537 -177.7402 246.3994 583.3882
538 -164.1909 250.6495 587.6384
539 -149.8443 254.7358 591.7246
540 -119.2022 262.0988 599.0877
541 -103.0922 265.2564 602.2453
542 -86.5556 268.0117 605.0006
543 -52.4947 272.1668 609.1558
544 -35.1133 273.5074 610.4963
545 -17.5917 274.3274 611.3163
546 17.5917 274.3274 611.3163
547 35.1133 273.5074 610.4963
548 52.4947 272.1668 609.1558
549 86.5557 268.0117 605.0006
550 103.0922 265.2564 602.2454
551 119.2022 262.0988 599.0878
552 149.8443 254.7357 591.7246
553 164.1909 250.6495 587.6384
554 177.7402 246.3994 583.3883
555 201.9720 237.7421 574.7310
556 212.2791 233.5517 570.5406
557 220.9585 229.6894 566.6783
558 229.6894 229.6894 557.9474
559 233.5517 233.5517 549.2680
560 237.7421 237.7421 538.9609
561 246.3742 246.3742 514.8323
562 250.4480 250.4481 502.0058
563 254.0560 254.0560 489.6208
564 229.6894 220.9585 566.6783
565 233.5517 212.2791 570.5406
566 237.7421 201.9720 574.7311
567 246.3994 177.7402 583.3883
568 250.6495 164.1909 587.6384
569 254.7357 149.8443 591.7246
570 262.0988 119.2022 599.0877
571 265.2564 103.0922 602.2452
572 268.0117 86.5557 605.0006
573 272.1668 52.4947 609.1558
574 273.5074 35.1133 610.4963
575 274.3274 17.5917 611.3163
576 274.3275 -17.5917 611.3163
577 273.5074 -35.1133 610.4963
578 272.1668 -52.4947 609.1558
579 268.0117 -86.5556 605.0006
580 265.2564 -103.0922 602.2454
581 262.0988 -119.2022 599.0877
582 254.7358 -149.8443 591.7246
583 250.6495 -164.1909 587.6384
584 246.3994 -177.7402 583.3883
585 237.7421 -201.9720 574.7310
586 233.5517 -212.2791 570.5406
587 229.6894 -220.9585 566.6783
588 229.6894 -229.6894 557.9474
589 233.5517 -233.5517 549.2680
590 237.7421 -237.7421 538.9609
591 246.3742 -246.3742 514.8323
592 250.4481 -250.4480 502.0058
593 254.0560 -254.0560 489.6208
594 220.9585 -229.6894 566.6783
